제품,카테고리,긍정,부정,중립
센트휴 - 수용성 커큐민 바이오페인2X,효능/효과,14,0,9
센트휴 - 수용성 커큐민 바이오페인2X,맛/복용편의,2,2,0
센트휴 - 수용성 커큐민 바이오페인2X,성분/안전성,1,0,3
센트휴 - 수용성 커큐민 바이오페인2X,가격/가치,6,0,0
센트휴 - 수용성 커큐민 바이오페인2X,배송/포장/품질,0,0,2
순수채움 - 수용성 커큐민 맥시멈,효능/효과,19,0,12
순수채움 - 수용성 커큐민 맥시멈,맛/복용편의,2,1,2
순수채움 - 수용성 커큐민 맥시멈,성분/안전성,7,1,3
순수채움 - 수용성 커큐민 맥시멈,가격/가치,8,0,0
순수채움 - 수용성 커큐민 맥시멈,배송/포장/품질,0,0,0
가온담음 - 페라큐민 강황 수용성 커큐민,효능/효과,23,2,25
가온담음 - 페라큐민 강황 수용성 커큐민,맛/복용편의,3,0,1
가온담음 - 페라큐민 강황 수용성 커큐민,성분/안전성,3,1,2
가온담음 - 페라큐민 강황 수용성 커큐민,가격/가치,8,0,0
가온담음 - 페라큐민 강황 수용성 커큐민,배송/포장/품질,1,0,0
릴크리터스 - 어린이 오메가 3 DHA 라즈베리 레몬맛 구미,효능/효과,5,2,1
릴크리터스 - 어린이 오메가 3 DHA 라즈베리 레몬맛 구미,맛/복용편의,12,3,9
릴크리터스 - 어린이 오메가 3 DHA 라즈베리 레몬맛 구미,성분/안전성,0,1,1
릴크리터스 - 어린이 오메가 3 DHA 라즈베리 레몬맛 구미,가격/가치,5,2,0
릴크리터스 - 어린이 오메가 3 DHA 라즈베리 레몬맛 구미,배송/포장/품질,3,7,4
세노비스 - 키즈 츄어블 오메가3,효능/효과,2,0,0
세노비스 - 키즈 츄어블 오메가3,맛/복용편의,11,11,8
세노비스 - 키즈 츄어블 오메가3,성분/안전성,0,1,0
세노비스 - 키즈 츄어블 오메가3,가격/가치,6,1,1
세노비스 - 키즈 츄어블 오메가3,배송/포장/품질,1,3,0
굿앤키즈 - 알티지 오메가3 츄어블,효능/효과,3,0,0
굿앤키즈 - 알티지 오메가3 츄어블,맛/복용편의,15,9,13
굿앤키즈 - 알티지 오메가3 츄어블,성분/안전성,0,0,0
굿앤키즈 - 알티지 오메가3 츄어블,가격/가치,4,0,2
굿앤키즈 - 알티지 오메가3 츄어블,배송/포장/품질,1,1,1
건국유업 - 쑥쑥 키즈업 칼슘 마그네슘 아연 비타민D 츄어블,효능/효과,7,1,2
건국유업 - 쑥쑥 키즈업 칼슘 마그네슘 아연 비타민D 츄어블,맛/복용편의,10,12,7
건국유업 - 쑥쑥 키즈업 칼슘 마그네슘 아연 비타민D 츄어블,성분/안전성,4,0,1
건국유업 - 쑥쑥 키즈업 칼슘 마그네슘 아연 비타민D 츄어블,가격/가치,8,1,2
건국유업 - 쑥쑥 키즈업 칼슘 마그네슘 아연 비타민D 츄어블,배송/포장/품질,0,0,0
비타민마을 - 맘편한 어린이 칼슘 마그네슘 아연 비타민D,효능/효과,4,0,3
비타민마을 - 맘편한 어린이 칼슘 마그네슘 아연 비타민D,맛/복용편의,8,5,4
비타민마을 - 맘편한 어린이 칼슘 마그네슘 아연 비타민D,성분/안전성,5,1,2
비타민마을 - 맘편한 어린이 칼슘 마그네슘 아연 비타민D,가격/가치,8,0,1
비타민마을 - 맘편한 어린이 칼슘 마그네슘 아연 비타민D,배송/포장/품질,1,7,2
비타민마을 - 금쪽같은 내새끼 어린이 칼슘 마그네슘 비타민D,효능/효과,14,0,2
비타민마을 - 금쪽같은 내새끼 어린이 칼슘 마그네슘 비타민D,맛/복용편의,12,9,4
비타민마을 - 금쪽같은 내새끼 어린이 칼슘 마그네슘 비타민D,성분/안전성,4,1,1
비타민마을 - 금쪽같은 내새끼 어린이 칼슘 마그네슘 비타민D,가격/가치,4,2,1
비타민마을 - 금쪽같은 내새끼 어린이 칼슘 마그네슘 비타민D,배송/포장/품질,0,1,0
